:title_ja,:genres_ja,:genres_en
新川渓谷温泉郷,温泉,Hot Springs
英彦山神宮,神社仏閣,Shrines and temples
醍醐寺,神社仏閣,Shrines and temples
与賀神社,神社仏閣,Shrines and temples
無藝荘,名所,Attractions
普光寺磨崖仏,"文化史跡,史跡","Cultural historic sites,historic sites"
桂昌寺跡地獄極楽,"文化史跡,史跡","Cultural historic sites,historic sites"
元興寺,神社仏閣,Shrines and temples
日豊海岸,"自然景観,海岸景観","Natural landscape,coastal landscape"
直海周辺,"自然景観,海岸景観","Natural landscape,coastal landscape"
第１３回たきかわ紙袋ランターンフェスティバル,"祭事,行・祭事","Festivals,row and festivals"
八剱八幡神社,神社仏閣,Shrines and temples
浅間山の展望,"施設景観,展望施設","Facility landscape,outlook facility"
あらふね湖,"自然景観,湖沼","Natural landscape,lakes"
永明寺のイチョウ,"動・植物,植物","Animal and plant,plant"
なかたね ふれあいの里,"文化施設,産業観光施設","Cultural facilities,industrial tourism facilities"
内山牧場のレンゲツツジ園,"動・植物,植物","Animal and plant,plant"
大町桂月文学碑,名所,Attractions
旧中込学校の藤の花,"動・植物,植物","Animal and plant,plant"
平尾山,"動・植物,植物","Animal and plant,plant"
道閑塚及び刑場跡,"文化史跡,史跡","Cultural historic sites,historic sites"
春日奥山の紅葉,"動・植物,植物","Animal and plant,plant"
春日大社の砂ずりの藤,"動・植物,植物","Animal and plant,plant"
正暦寺のモミジ,"動・植物,植物","Animal and plant,plant"
甘藷翁記念碑,名所,Attractions
紅葉峠展望台,"施設景観,展望施設","Facility landscape,outlook facility"
望郷子守唄の碑,名所,Attractions
明治大学商品陳列館,"文化施設,博物館","Cultural facilities,museums"
松江郷土館(興雲閣),"文化施設,歴史的建造物","Cultural facilities,historic buildings"
小見野々ダム湖,"自然景観,湖沼","Natural landscape,lakes"
小矢部河川公園,"公園・庭園,公園","Park and square or garden,park"
ファームイン南房総　杉田棟,"民宿・ペンション,ペンション","Bed and Breakfast,Pension"
大浦天主堂,"文化施設,歴史的建造物","Cultural facilities,historic buildings"
霧多布湿原,"自然景観,高原","Natural landscape,Plateau"
足尾銅山観光,"文化施設,博物館","Cultural facilities,museums"
梛,"動・植物,植物","Animal and plant,plant"
合志市西合志図書館天文台,"施設景観,展望施設","Facility landscape,outlook facility"
不動堂,神社仏閣,Shrines and temples
千代姫コテージ,"スポーツ・レジャー,キャンプ場","Sports and leisure,camping"
蔦の渕,"自然景観,河川景観","Natural landscape,river landscape"
霧多布岬,"自然景観,海岸景観","Natural landscape,coastal landscape"
山登り,"祭事,行・祭事","Festivals,row and festivals"
眼鏡橋,"文化施設,歴史的建造物","Cultural facilities,historic buildings"
アシリベツの滝,"自然景観,河川景観","Natural landscape,river landscape"
倶利伽羅古戦場,"文化史跡,史跡","Cultural historic sites,historic sites"
祝吉御所跡,"文化史跡,史跡","Cultural historic sites,historic sites"
白浜海岸,"自然景観,海岸景観","Natural landscape,coastal landscape"
荒沢ダム周辺の紅葉,"動・植物,植物","Animal and plant,plant"
天長寺石仏群,"文化史跡,史跡","Cultural historic sites,historic sites"
津海岸,"自然景観,海岸景観","Natural landscape,coastal landscape"
海上自衛隊（旧海軍兵学校）,"文化施設,歴史的建造物","Cultural facilities,historic buildings"
水島観光さつき園,"公園・庭園,庭園","Park and square or garden,garden"
天塩川,"自然景観,河川景観","Natural landscape,river landscape"
中村家住宅,"文化施設,歴史的建造物","Cultural facilities,historic buildings"
首切り地蔵（小塚原刑場跡）,名所,Attractions
網走湖,"自然景観,湖沼","Natural landscape,lakes"
ケアポートみまき温泉アクティブセンター,"スポーツ・レジャー,スポーツリゾート施設","Sports and leisure,sports resort"
電照菊（百万ドルの夜景）,"動・植物,植物","Animal and plant,plant"
芭蕉歴史の道,"文化史跡,旧街道","Cultural historic sites,old road"
芭蕉句碑,名所,Attractions
大田区休養村とうぶ,"文化施設,センター施設","Cultural facilities,center facilities"
知的障害者更生施設渓明園,名所,Attractions
高島秋帆旧宅,"文化史跡,史跡","Cultural historic sites,historic sites"
富川渓谷,"自然景観,河川景観","Natural landscape,river landscape"
かるた始め式,"祭事,行・祭事","Festivals,row and festivals"
金刀比羅神社　初詣,"祭事,行・祭事","Festivals,row and festivals"
エビラ沢の滝,"自然景観,河川景観","Natural landscape,river landscape"
西導寺,神社仏閣,Shrines and temples
網走川,"自然景観,河川景観","Natural landscape,river landscape"
ポンモイ海岸,"自然景観,海岸景観","Natural landscape,coastal landscape"
二ツ岩,"自然景観,特殊地形","Natural landscape,special terrain"
サンワアリーナ（青森県営スケート場）,"スポーツ・レジャー,スケート場","Sports and leisure,skating rink"
大水沢の滝,"自然景観,河川景観","Natural landscape,river landscape"
長峰山山頂,"自然景観,自然現象","Natural landscape,natural phenomena"
兼六園の桜,"動・植物,植物","Animal and plant,plant"
あやめ公園・龍門渕公園の花菖蒲,"動・植物,植物","Animal and plant,plant"
一の沢林道の紅葉,"動・植物,植物","Animal and plant,plant"
大鷲院の磨崖仏,名所,Attractions
三河湖,"自然景観,湖沼","Natural landscape,lakes"
音海大断崖,"自然景観,海岸景観","Natural landscape,coastal landscape"
なかとみ和紙の里,"レクリエーション,公的観光レクリエーション地域","Recreation,public tourism Recreation Area"
ネコギギ,"動・植物,動物","Animal and plant,animal"
長峰山,"スポーツ・レジャー,スポーツリゾート施設","Sports and leisure,sports resort"
前川,"スポーツ・レジャー,マリーナ・ヨットハーバー","Sports and leisure,Marina Yacht Harbor"
嘉多山公園,"公園・庭園,公園","Park and square or garden,park"
安曇野市豊科近代美術館,"文化施設,美術館","Cultural facilities,Museum of Art"
安曇野ワイナリー,"文化施設,産業観光施設","Cultural facilities,industrial tourism facilities"
農業活性化施設「VIF穂高」ふれあい体験館,"観光案内,体験観光","Tourist information,experience tourism"
安曇野蝶ヶ岳温泉,温泉,Hot Springs
裸参り,"祭事,行・祭事","Festivals,row and festivals"
流氷観光砕氷船「おーろら」,"祭事,行・祭事","Festivals,row and festivals"
弓削大橋記念公園,"公園・庭園,公園","Park and square or garden,park"
祝子川渓谷の紅葉,"動・植物,植物","Animal and plant,plant"
普光寺,神社仏閣,Shrines and temples
神角寺,神社仏閣,Shrines and temples
三輪神社,神社仏閣,Shrines and temples
夜叉ケ池,"自然景観,湖沼","Natural landscape,lakes"
第3回　四万十・足摺無限大チャレンジライド,"祭事,行・祭事","Festivals,row and festivals"
南相木温泉　「滝見の湯」,郷土料理店,Local restaurant
内海,"レクリエーション,観光漁業","Recreation,Tourism fishing"
大池潮干狩場,"レクリエーション,観光漁業","Recreation,Tourism fishing"
矢梨潮干狩場,"レクリエーション,観光漁業","Recreation,Tourism fishing"
追分宿,"施設景観,町並み","Facility landscape,townscape"
矢ヶ崎公園,"公園・庭園,公園","Park and square or garden,park"
二宮敬作出生地跡,"文化史跡,史跡","Cultural historic sites,historic sites"
高麗石器時代住居跡,"文化史跡,史跡","Cultural historic sites,historic sites"
東照公産湯の井戸,名所,Attractions
お登勢の碑,名所,Attractions
加茂海水浴場,"レクリエーション,海水浴場","Recreation,beaches"
多層民家旧渋谷家住宅,"文化施設,歴史的建造物","Cultural facilities,historic buildings"
赤堀花しょうぶ園,"動・植物,植物","Animal and plant,plant"
月ケ瀬梅林,"動・植物,植物","Animal and plant,plant"
鹿寄せ,"施設景観,郷土景観","Facility landscape,local landscape"
アンモ浦展望台,"施設景観,展望施設","Facility landscape,outlook facility"
旧黒沢家住宅,"文化施設,歴史的建造物","Cultural facilities,historic buildings"
本荘マリーナ,"スポーツ・レジャー,マリーナ・ヨットハーバー","Sports and leisure,Marina Yacht Harbor"
福王寺,神社仏閣,Shrines and temples
山王神社二の鳥居（一本柱鳥居）,名所,Attractions
西海橋のツツジ・桜,"動・植物,植物","Animal and plant,plant"
御代田町B＆G海洋センター,"スポーツ・レジャー,スポーツリゾート施設","Sports and leisure,sports resort"
諫早公園のツツジ,"動・植物,植物","Animal and plant,plant"
日枝神社,神社仏閣,Shrines and temples
両羽神社,神社仏閣,Shrines and temples
ホーランエンヤ,"祭事,行・祭事","Festivals,row and festivals"
鬼の足跡,"自然景観,特殊地形","Natural landscape,special terrain"
アマハゲ,"祭事,行・祭事","Festivals,row and festivals"
海野宿歴史民俗資料館,"文化施設,博物館","Cultural facilities,museums"
南の池公園キャンプ場,"スポーツ・レジャー,キャンプ場","Sports and leisure,camping"
泉重千代翁之像,名所,Attractions
飛島海水浴場,"レクリエーション,海水浴場","Recreation,beaches"
観光りんご園,"レクリエーション,観光農林業","Recreation,tourism agriculture and forestry"
カモシカ,"動・植物,動物","Animal and plant,animal"
芭蕉句碑2,名所,Attractions
観音滝,"自然景観,河川景観","Natural landscape,river landscape"
ツムジ倉滝,"自然景観,河川景観","Natural landscape,river landscape"
北山古墳,"文化史跡,史跡","Cultural historic sites,historic sites"
遊泉ハウス児湯,"文化施設,センター施設","Cultural facilities,center facilities"
若宮神社,神社仏閣,Shrines and temples
寺町界隈,"施設景観,町並み","Facility landscape,townscape"
宇多川渓谷,"自然景観,河川景観","Natural landscape,river landscape"
赤坂ボタン園,"公園・庭園,庭園","Park and square or garden,garden"
うきは市大石親子凧あげ大会　　,"祭事,行・祭事","Festivals,row and festivals"
ログキャビンchena,"スポーツ・レジャー,キャンプ場","Sports and leisure,camping"
大垣城,"文化史跡,城郭","Cultural historic sites,castles"
ホテル八峯苑鹿の湯,温泉,Hot Springs
畑薙第一ダムの紅葉,"動・植物,植物","Animal and plant,plant"
安国寺経蔵,"文化施設,歴史的建造物","Cultural facilities,historic buildings"
元興寺禅室,"文化施設,歴史的建造物","Cultural facilities,historic buildings"
全龍寺,神社仏閣,Shrines and temples
笹岡家住宅,"文化施設,歴史的建造物","Cultural facilities,historic buildings"
大河原河川公園,"公園・庭園,公園","Park and square or garden,park"
裂き織りショップ　織音舎,"観光案内,体験観光","Tourist information,experience tourism"
八ヶ岳温泉　もみの湯,温泉,Hot Springs
いきいきふれあいランド,"公園・庭園,公園","Park and square or garden,park"
丹頂鶴,"動・植物,動物","Animal and plant,animal"
金御岳公園展望所,"施設景観,展望施設","Facility landscape,outlook facility"
傾城壇古墳,"文化史跡,史跡","Cultural historic sites,historic sites"
小野宿（旧小野家住宅＜小野宿問屋＞）,"文化施設,歴史的建造物","Cultural facilities,historic buildings"
手斧始式,"祭事,行・祭事","Festivals,row and festivals"
水戸市大串貝塚ふれあい公園,"公園・庭園,公園","Park and square or garden,park"
大文字キャンプ場,"スポーツ・レジャー,キャンプ場","Sports and leisure,camping"
見奈良菜の花まつり,"祭事,行・祭事","Festivals,row and festivals"
こどもの城,名所,Attractions
観音峰パノラマコース,"レクリエーション,ハイキングコース","Recreation,hiking trails"
東公園,"公園・庭園,公園","Park and square or garden,park"
インクラの滝,"自然景観,河川景観","Natural landscape,river landscape"
豊前国分尼寺跡,"文化史跡,史跡","Cultural historic sites,historic sites"
三角池,"自然景観,湖沼","Natural landscape,lakes"
Ｙｏｕ・遊の森公園,"公園・庭園,公園","Park and square or garden,park"
秋葉山祭典,"祭事,行・祭事","Festivals,row and festivals"
中華会館,"文化施設,歴史的建造物","Cultural facilities,historic buildings"
金光教本部,神社仏閣,Shrines and temples
奥伊勢フォレストピア,"レクリエーション,公的観光レクリエーション地域","Recreation,public tourism Recreation Area"
西国分塔跡,"文化史跡,史跡","Cultural historic sites,historic sites"
信州まつかわ温泉清流苑,温泉,Hot Springs
神宮橋,"文化施設,近代的建造物","Cultural facilities,modern buildings"
みかぼの湯,温泉,Hot Springs
果夢樹,"レクリエーション,観光農林業","Recreation,tourism agriculture and forestry"
千代田公園,"公園・庭園,公園","Park and square or garden,park"
岩津橋,"文化施設,近代的建造物","Cultural facilities,modern buildings"
良寛和尚像,名所,Attractions
鏡山の桜,"動・植物,植物","Animal and plant,plant"
舞鶴公園の藤,"動・植物,植物","Animal and plant,plant"
ブルーベリー園「花の谷」,"レクリエーション,観光農林業","Recreation,tourism agriculture and forestry"
平岡ダム,"自然景観,湖沼","Natural landscape,lakes"
野田平のこぶし群生,"動・植物,植物","Animal and plant,plant"
日光二荒山神社,神社仏閣,Shrines and temples
スポーツランド泰阜,"スポーツ・レジャー,スポーツリゾート施設","Sports and leisure,sports resort"
山のカフェ　ギャラリーそらくぼ,郷土料理店,Local restaurant
木曽駒高原,"自然景観,高原","Natural landscape,Plateau"
唐沢の滝,"自然景観,河川景観","Natural landscape,river landscape"
東山湖の桜,"動・植物,植物","Animal and plant,plant"
田立の滝,"自然景観,河川景観","Natural landscape,river landscape"
桝形の跡,"文化史跡,史跡","Cultural historic sites,historic sites"
下嵯峨屋,"文化施設,博物館","Cultural facilities,museums"
桂川渓谷,"自然景観,河川景観","Natural landscape,river landscape"
室生寺本堂,"文化施設,歴史的建造物","Cultural facilities,historic buildings"
